skill,purpose,status,last_reviewed,review_doc,severity,decision,notes
ai-architecture-implementation,"Guides implementation of AI system architectures — technology selection, pipeline implementation, model serving setup, monitoring deployment, and CI/CD automation. This skill should be used when the user asks to ""implement AI architecture"", build ML pipeline"", ""set up model serving"", ""deploy AI system"", ""implement MLOps"", ""configure drift monitoring"", set up feature store"", or mentions AI implementation plan, ML infrastructure setup, model deployment guide, RAG implementation, or agent framework setup. [EXPLICIT]",pending,,,,,
ai-assisted-testing,"AI-generated test cases, fuzzing, mutation testing, coverage optimization. [EXPLICIT]",pending,,,,,
ai-code-review,"LLM-assisted code review patterns, automated suggestion generation. [EXPLICIT]",pending,,,,,
ai-conops,"Concept of Operations (CONOPS) for AI systems — system vision, stakeholder mapping, AI-human interaction spectrum, business value assessment, success metrics, and operational modes. This skill should be used when the user asks to define the AI operational concept"", ""map AI stakeholders"", ""design AI-human interaction levels"", ""assess AI business value"", define AI success metrics"", ""plan AI operational modes"", or mentions CONOPS, IEEE 1362, AI autonomy levels, AI value matrix, or AI system vision. [EXPLICIT]",pending,,,,,
ai-content-detection,"AI-generated content detection, watermarking, human-AI hybrid strategies. [EXPLICIT]",pending,,,,,
ai-design-patterns,"AI-specific design patterns and system tactics — Feature Store, Champion-Challenger, Shadow Deployment, Drift Detection, Explainability Wrapper, Canary Deployment, Bulkhead, and traditional patterns adapted for AI. This skill should be used when the user asks to ""select AI design patterns"", ""apply ML patterns"", ""design drift detection"", ""implement feature store"", plan shadow deployment"", ""design champion-challenger"", ""select availability tactics for AI"", or mentions AI anti-patterns, maintainability tactics, fault recovery for models, or pattern selection for ML systems. [EXPLICIT]",pending,,,,,
ai-documentation,"Auto-generated docs from code, README generation, API doc automation. [EXPLICIT]",pending,,,,,
ai-pipeline-architecture,"AI pipeline architecture design — development pipelines, production pipelines, data stores, model registry, CI/CD for AI, and non-functional requirements. This skill should be used when the user asks to ""design AI pipelines"", ""architect ML pipelines"", select data stores for AI"", ""design model registry"", ""implement CI/CD for ML"", ""define AI pipeline requirements"", or mentions MLOps, training pipeline, inference pipeline, feature pipeline, Blue and Gold deployment, or pipeline patterns. [EXPLICIT]",pending,,,,,
ai-safety,"Content filters, output guardrails, jailbreak prevention, safety evaluation. [EXPLICIT]",pending,,,,,
ai-software-architecture,"AI software architecture design — modules, layers, boundaries, design patterns, ADRs, quality attributes, and technical debt strategy for AI-enabled systems. This skill should be used when the user asks to ""design AI system structure"", ""define AI module boundaries"", select AI architecture patterns"", ""document AI architecture decisions"", ""evaluate AI code architecture"", or mentions AI pipelines, feature stores, model serving, drift detection, ML quality attributes, explainability architecture, or AI technical debt. [EXPLICIT]",pending,,,,,
ai-testing-strategy,"Comprehensive testing strategy for AI systems — testing scope matrix (6 types x 6 layers), model prediction testing, data quality testing, compliance and fairness testing, integration approaches, and CI/CD test automation. This skill should be used when the user asks to ""define AI testing strategy"", ""test ML models"", ""design data quality tests"", plan fairness testing"", ""test AI pipelines"", ""design integration tests for ML"", or mentions adversarial testing, drift simulation, model regression testing, bias testing, explainability testing, or AI test automation. [EXPLICIT]",pending,,,,,
ai-workflow-automation,"LLM-in-the-loop workflows, human-AI handoff, approval gates. [EXPLICIT]",pending,,,,,
alerting-strategy,"Alert fatigue prevention, escalation rules, severity classification. [EXPLICIT]",pending,,,,,
analytics-engineering,"This skill should be used when the user asks to ""design analytics models"", set up a dbt project"", ""plan data transformations"", ""define data contracts"", or ""model a star schema"", or mentions staging models, marts, incremental strategies, or materializations. It produces analytics pipeline designs with dbt-style transformations, data modeling patterns, testing strategies, and documentation plans. [EXPLICIT] Use this skill whenever the user needs source-to-target mapping, materialization decisions, or transformation framework architecture, even if they don't explicitly ask for ""analytics engineering"". [EXPLICIT]",pending,,,,,
analytics-events,"Event taxonomy, naming conventions, tracking plan, implementation. [EXPLICIT]",pending,,,,,
analytics-implementation,GA4 setup. Firebase Analytics custom events. Conversions. User properties. BigQuery export. Looker Studio dashboards. [EXPLICIT],pending,,,,,
angular-development,"Develops Angular applications using modern patterns: Signals, standalone components, SSR with Angular Universal, routing, reactive forms, RxJS operators, and dependency injection. [EXPLICIT]",pending,,,,,
angular-module-builder,"Angular feature modules with standalone components. Services, pipes, directives, Angular Material integration. [EXPLICIT]",pending,,,,,
animation-motion,"CSS transitions and animations. @keyframes, scroll-driven animations, View Transitions API, Lottie integration. [EXPLICIT]",pending,,,,,
animation-principles,12 principles of animation applied to UI motion design. [EXPLICIT],pending,,,,,
api-architecture,"This skill should be used when the user asks to ""design an API"", define API strategy"", ""implement contract-first development"", set up API governance"", or ""improve developer experience"", or mentions REST, GraphQL, gRPC, OpenAPI, or API gateway. [EXPLICIT] It produces API architecture designs covering style selection, contract-first workflows, versioning, security, rate limiting, and DX plans. [EXPLICIT] Use this skill whenever the user needs API design decisions, deprecation policies, or developer portal planning, even if they don't explicitly ask for ""API architecture"". [EXPLICIT]",pending,,,,,
api-design,"Designs REST and GraphQL API contracts with OpenAPI/Swagger specifications, versioning strategies, pagination patterns, error handling, and rate limiting. [EXPLICIT] Produces production-ready API specifications. [EXPLICIT]",pending,,,,,
api-designer,REST/GraphQL API design for Firebase Cloud Functions. OpenAPI spec generation. Versioning strategy. Rate limiting patterns. [EXPLICIT],pending,,,,,
api-documentation,"API documentation: OpenAPI/Swagger spec generation, endpoint docs, request/response examples, authentication docs. Complements api-design. [EXPLICIT]",pending,,,,,
api-security,Firebase App Check (reCAPTCHA v3). API key restrictions. Rate limiting in Cloud Functions. Request signing. [EXPLICIT],pending,,,,,
architecture-tobe,"TO-BE architecture blueprint from AS-IS analysis. Gap analysis, migration path, target state C4 diagrams. [EXPLICIT]",pending,,,,,
asis-analysis,"Current-state 10-section assessment: stack, architecture, code quality, testing, CI/CD, security, performance, data, team, tech debt. [EXPLICIT]",pending,,,,,
assembly-skill,"Orchestrates exactly one target skill through deterministic diagnostic, Gate B intervention, certification, optional trigger optimization, and validated Assembly Report with mode policy, report contract, assets, scripts, and evidence-tagged [EXPLICIT]/[INFERRED]/[OPEN] output.",dod-complete,2026-06-05,docs/audits/skills/assembly-skill-review.md,P1,completed-assembly-skill-dod,"Closed DoD with assets manifest, mode policy, assembly report contract, deterministic validator fixtures, eval cases, examples, and per-skill validation evidence."
"assumption-log","Tracks and validates project assumptions with gapless A-NNN IDs, allowed lifecycle statuses, evidence tags, contradiction links, decision links, validation queue coverage, warning thresholds, and deterministic JSON report validation. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/assumption-log-review.md,P1,completed-assets-dod,"Closed DoD with activation/status/evidence/log-contract assets, offline validator, valid and negative fixtures, 12 eval cases, read-only agents, offline templates, and per-skill DoD evidence."
"audit-content-quality","Audits SKILL.md content quality with a deterministic six-dimension rubric, formula-derived scorecards, plugin averages, bottom-skill priorities, systematic gap detection, coverage accounting, and JSON report validation. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/audit-content-quality-review.md,P1,completed-assets-dod,"Closed DoD with activation/rubric/evidence/report assets, offline validator, valid and negative fixtures, 13 eval cases, read-only agents, offline templates, corrected score formulas, and per-skill DoD evidence."
"audit-security","Performs a deterministic read-only static plugin security audit across secret exposure, path security, hook injection, sensitive files, script safety, and external network risks with exact evidence, placeholder handling, remediation coverage, and JSON report validation. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/audit-security-review.md,P1,completed-assets-dod,"Closed DoD with activation/scan/evidence/report assets, offline validator, valid and negative fixtures, 11 eval cases, read-only agents, offline templates, normalized severity policy, and per-skill DoD evidence."
audit-trail-design,"Immutable audit logs, qualified paths, retention policies, forensics. [EXPLICIT]",pending,,,,,
auth-architecture,Firebase Auth setup. Custom claims for RBAC. Session management. MFA configuration. Provider selection. [EXPLICIT],pending,,,,,
auto-prompt-matching,"Deterministically route a user request to the best available skill or prompt by reading canonical indexes, scoring explicit trigger/purpose matches, resolving ties with stable rules, and emitting an auditable routing decision. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/auto-prompt-matching-review.md,P1,completed-auto-prompt-matching-dod,"Multiagent hardening pass added source-backed routing contract, routing checklist asset, DoD eval cases, examples, review doc, and ledger closure."
aws-architecture-audit,"Audits AWS AI/GenAI architectures against the Well-Architected GenAI Lens — operational excellence, security, reliability, performance, cost optimization, and sustainability. This skill should be used when the user asks to audit AWS AI architecture"", ""review Bedrock configuration"", ""assess SageMaker security"", ""optimize AWS AI costs"", evaluate AWS GenAI compliance"", ""review AWS Well-Architected for AI"", or mentions AWS AI audit, Bedrock audit, SageMaker review, AWS GenAI security assessment, or AWS AI cost optimization review. [EXPLICIT]",pending,,,,,
aws-architecture-design,"Designs AWS cloud architectures for AI and GenAI workloads applying the Well-Architected Framework GenAI Lens (6 pillars: GENOPS, GENSEC, GENREL, GENPERF, GENCOST, GENSUS), AWS service selection matrices, RAG/Agent/Fine-Tuning patterns, cost optimization strategies, and enterprise reference architectures. Activated when designing, evaluating, or migrating AI systems on AWS. [EXPLICIT]",pending,,,,,
aws-architecture-implementation,"Guides implementation of AI/GenAI architectures on AWS — Bedrock setup, SageMaker pipelines, OpenSearch vector stores, API Gateway configuration, security hardening, cost controls, and deployment automation. This skill should be used when the user asks to ""implement AI on AWS"", ""set up Bedrock"", ""deploy SageMaker pipeline"", ""configure OpenSearch for RAG"", implement AWS AI security"", ""set up AWS AI monitoring"", or mentions AWS AI deployment, Bedrock Knowledge Base setup, SageMaker endpoint deployment, AWS GenAI implementation, or AWS AI CI/CD pipeline. [EXPLICIT]",pending,,,,,
b2b-outreach,"Triggers on ""outreach sequence"", ""cold email"", ""B2B outreach"", ""prospecting messages"", contact X company"", ""write outreach for"", ""sales sequence"", ""follow-up cadence"". Designs B2B outreach sequences — personalized messages, follow-up cadences, multi-channel strategy. Output: ready-to-send scripts + CSV tracker template. Argument: target company/persona + product/service being sold + deal context.",pending,,,,,
background-jobs,Cloud Tasks for deferred work. Pub/Sub event-driven. Scheduled functions (cron). Retry policies. Dead letter queues. [EXPLICIT],pending,,,,,
backup-recovery,gcloud firestore export. Scheduled backups via Cloud Scheduler. Point-in-time recovery. Import procedures. Disaster recovery. [EXPLICIT],pending,,,,,
backup-strategy,"Firestore exports, scheduled backups, recovery testing, retention. [EXPLICIT]",pending,,,,,
bdd-full-spectrum,"Generate Gherkin BDD scenarios across all quality angles — functional, accessibility, security, performance, SEO, offline, UI, backend, data, DevSecOps, CI/CD. Runner-agnostic step definitions with traceability to requirements and constitutional principles. [EXPLICIT]",pending,,,,,
benchmark-skill,"Compares two skill states or one skill against a benchmark standard using a deterministic rubric, inventory deltas, gate changes, regression detection, trade-off analysis, and net assessment. Use when the user asks to compare skill versions, benchmark a skill, measure skill improvement, diff skill states, prove before/after quality, or evaluate a skill against a quality standard.",dod-complete,2026-06-05,docs/audits/skills/benchmark-skill-review.md,P1,completed-benchmark-skill-dod,"Closed DoD with assets manifest, benchmark report validator, deterministic fixtures, eval cases, examples, review doc, and per-skill validation evidence."
benchmarking-analysis,"Industry benchmarks, internal baselines, trend analysis, gap identification. [EXPLICIT]",pending,,,,,
bi-architecture,"This skill should be used when the user asks to ""design BI architecture"", build a KPI framework"", ""set up self-service analytics"", design a dashboard hierarchy"", or ""create a semantic layer"", or mentions metric trees, drill-down patterns, or reporting strategy. [EXPLICIT] It produces BI solution designs covering KPI frameworks, semantic layers, dashboard hierarchies, self-service analytics, and governance plans. [EXPLICIT] Use this skill whenever the user needs analytics consumption architecture or visualization standards, even if they don't explicitly ask for BI architecture"".",pending,,,,,
bilingual-doc,"Triggers on ""bilingual"", ""ES/EN toggle"", ""bilingual document"", ""dual language"", español e inglés"", ""agregar idioma"", ""make it bilingual"". Implements the JM Labs bilingual pattern — [data-l=""es""]/[data-l=""en""] toggle via html[lang] attribute. INDEPENDENT skill but ALWAYS orchestrated by jmlabs-corporate-doc when brand context is active.",pending,,,,,
blog-cms,"Build blog and CMS features including Markdown rendering, categories and tags, full-text search, and SEO optimization for content-driven sites. [EXPLICIT]",pending,,,,,
bmad-method,"Applies BMAD with deterministic phase routing, persona matrix, artifact chain, readiness gate policy, Quick Flow criteria, verified-helper handling for optional runtime scripts/templates/personas, offline packet validation, and evidence-tagged output.",dod-complete,2026-06-05,docs/audits/skills/bmad-method-review.md,P1,completed-bmad-method-dod,"Closed DoD with assets manifest, persona matrix, artifact chain, readiness gate policy, Quick Flow policy, source policy, packet validator fixtures, eval cases, examples, review doc, and per-skill validation evidence."
brand-docx,"[EXPLICIT] This skill should be used when the user asks to ""generate a Word document"", [EXPLICIT] create a branded DOCX"", ""build a proposal in Word format"", [EXPLICIT] make a brand-compliant report"", or ""produce a cover page"", [EXPLICIT] or mentions python-docx, Word templates, or DOCX generation. [EXPLICIT] It generates brand-compliant Word documents using python-docx with configurable [EXPLICIT] brand tokens for colors, fonts, cover pages, headers, callouts, tables, and footers. [EXPLICIT] Use this skill whenever the user needs a .docx file with branded styling, [EXPLICIT] even if they don't explicitly ask for ""brand DOCX"". [EXPLICIT]",pending,,,,,
brand-html,"This skill should be used when the user asks to ""generate branded HTML"", create a landing page"", ""build a brand-compliant web page"", produce a styled HTML report"", or ""design a responsive page"", or mentions brand tokens, CSS variables, or HTML generation. [EXPLICIT] It generates brand-compliant HTML/CSS by reading brand tokens from config and applying colors, fonts, spacing, component templates, and responsive patterns. [EXPLICIT] Use this skill whenever the user needs a self-contained branded web page, even if they don't explicitly ask for ""brand HTML"". [EXPLICIT]",pending,,,,,
brand-voice,"This skill should be used when the user asks to ""apply brand voice"", write in our brand tone"", ""review copy for brand consistency"", create brand writing guidelines"", or ""calibrate tone for a proposal"", or mentions voice pillars, tone calibration, or vocabulary mapping. [EXPLICIT] It applies configurable brand voice and tone guidelines by reading brand config to adapt voice pillars, content type calibration, vocabulary mapping, and writing rules. [EXPLICIT] Use this skill whenever the user needs branded written content or voice consistency checks, even if they don't explicitly ask for ""brand voice"". [EXPLICIT]",pending,,,,,
brand-xlsx,"This skill should be used when the user asks to ""generate a branded spreadsheet"", create an Excel file with brand colors"", ""build an XLSX report"", apply brand styling to a spreadsheet"", or mentions openpyxl or brand tokens. [EXPLICIT] It generates brand-compliant Excel spreadsheets (.xlsx) using openpyxl with configurable color fills, typography, layout patterns, KPI boxes, and footers. [EXPLICIT] Use this skill whenever the user needs any styled or branded Excel output, even if they don't explicitly ask for ""brand-xlsx"". [EXPLICIT]",pending,,,,,
branded-html-output,"Generate HTML outputs using MetodologIA brand design system. Navy background, gold accents, Poppins/Montserrat, glassmorphism, print-ready. Loads design-tokens.json and html-template.html. [EXPLICIT]",pending,,,,,
budget-management,"Project budgets, burn rate tracking, forecast modeling, variance analysis. [EXPLICIT]",pending,,,,,
build-moat-assets,"Create MOAT directory structures and populate asset files (references/, examples/, prompts/, scripts/, assets/) for plugin skills. [EXPLICIT]",pending,,,,,
build-optimization,"Vite/Webpack config tuning with tree shaking, code splitting, dynamic imports, Brotli/gzip compression, and source maps",pending,,,,,
build-plugin-scaffold,"Scaffold a complete plugin directory from architecture plans and specs. Creates all files, then validates structure. [EXPLICIT]",pending,,,,,
bundle-analysis,"webpack-bundle-analyzer/rollup-plugin-visualizer for chunk analysis, splitting strategy, dynamic imports, and tree shaking audit",pending,,,,,
business-process-modeling,"Models business processes using BPMN 2.0, value stream mapping, and capability mapping. Identifies waste, handoff friction, and automation opportunities in organizational workflows. [EXPLICIT]",pending,,,,,
caching-strategy,Firebase Hosting CDN cache headers. Firestore offline persistence. Client-side cache (localStorage/IndexedDB). [EXPLICIT],pending,,,,,
capacity-planning,"Use when the user asks to ""plan capacity"", ""forecast resource demand"", analyze resource availability"", ""match supply to demand"", or ""model resource scenarios"". [EXPLICIT] Activates when a stakeholder needs to analyze resource supply vs demand, identify capacity gaps, detect over-allocations, build time-phased capacity models, or plan proactive hiring and cross-training decisions before bottlenecks impact delivery. [EXPLICIT]",pending,,,,,
case-study-writing,"Problem-solution-result format, metrics, quotes, visual layout. [EXPLICIT]",pending,,,,,
cdn-configuration,"CDN setup, cache headers, edge functions, purge strategies. [EXPLICIT]",pending,,,,,
"certify-skill","Certifies JM-ADK skill directories with structural checks, content checks, systemic coherence, 10-dimension rubric scoring, MOAT checks, formula-derived levels, evidence tags, and deterministic report validation. Use when asked to certify, validate, grade, quality-gate, or decide whether a skill is ready to ship. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/certify-skill-review.md,P1,completed-assets-dod,"Closed DoD with certification phase assets, deterministic report validator, MOAT/CONDITIONAL/false-certified fixtures, 10 eval cases, offline templates, read-only agents, and per-skill DoD evidence."
change-management-enterprise,"Communication plans, stakeholder alignment, rollout strategy. [EXPLICIT]",pending,,,,,
change-readiness,"Assesses organizational readiness for change using the ADKAR adoption model, maps resistance sources, and designs targeted interventions to drive successful technology and process adoption. [EXPLICIT]",pending,,,,,
changelog-management,"Maintain changelog.md with semantic entries for decisions, completions, amendments, insights, blockers, and discoveries. Cross-session continuity log. [EXPLICIT]",pending,,,,,
changelog-writing,"User-facing changelogs, semantic grouping, tone, migration guides. [EXPLICIT]",pending,,,,,
chatbot-design,"Conversational UI patterns, intent routing, fallback handling, persona design. [EXPLICIT]",pending,,,,,
ci-cd-pipeline,"GitHub Actions CI/CD with build, lint, test, deploy stages, Firebase deploy tokens, and branch-based environments",pending,,,,,
ci-pipeline-design,"Pipeline stages, parallelization, caching, artifact management. [EXPLICIT]",pending,,,,,
client-browser-audit,"Use when the user asks to ""audit PM tools visually"", ""inspect Jira configuration"", review Azure DevOps setup"", ""check Monday.com boards"", or ""evaluate tool configuration"". [EXPLICIT] Activates when a stakeholder needs to perform a visual audit of PM tool configurations, capture screenshot evidence of misconfigurations, compare tool setup against methodology best practices, identify workflow anti-patterns in PM tools, or produce a remediation roadmap for tool optimization. [EXPLICIT]",pending,,,,,
client-dossier,"Triggers on ""build dossier on"", ""client profile"", ""prospect research"", ""research company X"", build profile on X person"", ""dossier for sales call"", ""quién es X empresa"". Produces a branded HTML dossier: company DNA, key contacts, pain points, entry strategy.",pending,,,,,
client-prospecting,"Triggers on ""find prospects"", ""prospecting"", ""lead list"", ""ICP definition"", target accounts"", ""who should I contact"", ""prospectar clientes"", ""lista de prospectos"". Systematic prospect identification and qualification: ICP definition, lead lists, scoring model, and prioritization. Output: qualified lead list + approach brief. Argument: business context (what you sell + to whom) + geography/sector filters.",pending,,,,,
cloud-functions,"Build Cloud Functions for Firebase with HTTP, Firestore, Auth, Storage, and PubSub triggers. Covers TypeScript setup, error handling, and deployment. [EXPLICIT]",pending,,,,,
cloud-migration,"This skill should be used when the user asks to ""plan a cloud migration"", assess workloads for migration"", ""design a landing zone"", ""create migration waves"", or mentions 7R, rehost, replatform, refactor, lift-and-shift, or migration factory. [EXPLICIT] It produces comprehensive migration plans covering 7R assessment, workload analysis, wave planning, landing zone design, cutover execution, and post-migration optimization. [EXPLICIT] Use this skill whenever the user discusses moving workloads to the cloud, even if they don't explicitly ask for ""cloud-migration"". [EXPLICIT]",pending,,,,,
cloud-native-architecture,"This skill should be used when the user asks to ""design cloud-native architecture"", containerize the application"", ""evaluate service mesh options"", plan serverless migration"", or mentions Kubernetes, Istio, FinOps, or 12-factor. [EXPLICIT] It produces architecture documentation covering containers, orchestration, service mesh, serverless decisions, multi-cloud strategy, and cost-aware engineering with FinOps. [EXPLICIT] Use this skill whenever the user needs to design applications for the cloud, even if they don't explicitly ask for ""cloud-native-architecture"". [EXPLICIT]",pending,,,,,
"code-review","Perform deterministic, read-only code review on supplied diffs, pull requests, patches, or file excerpts with fixed severity/category taxonomy, exact file-line evidence, false-positive controls, decision rules, and offline JSON report validation. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/code-review-review.md,P1,completed-assets-dod,"Closed DoD with activation/taxonomy/evidence/report/source-boundary assets, offline validator, valid and negative fixtures, 12 eval cases, read-only agents, offline templates, and per-skill validation evidence."
"code-review-checklist","Apply a deterministic, read-only code review checklist for supplied PR diffs, changed files, dependency updates, Firestore rules, Firebase code, TypeScript code, and frontend changes with fixed checklist IDs, blocking decision rules, exact evidence, and offline report validation. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/code-review-checklist-review.md,P1,completed-assets-dod,"Closed DoD with activation/checklist/evidence/report/source-boundary assets, offline validator, valid and negative fixtures, 14 eval cases, read-only agents, offline templates, and per-skill validation evidence."
cohort-analysis,"User segmentation, retention curves, lifecycle stage analysis. [EXPLICIT]",pending,,,,,
color-theory,"Color psychology, palette generation, harmony rules, contrast. [EXPLICIT]",pending,,,,,
commercial-model,"This skill should be used when the user asks to ""define a business model"", structure the deal"", ""identify value capture"", ""design a commercial model"", or mentions earned value, joint venture, revenue share, or outcome-based pricing. [EXPLICIT] It identifies optimal commercial structures for technology engagements beyond T&M, producing model recommendations with trade-offs — not pricing. [EXPLICIT] Use this skill whenever the user discusses deal structure or commercial strategy, even if they don't explicitly ask for ""commercial-model"". [EXPLICIT]",pending,,,,,
competitive-intelligence,Market analysis. Competitor feature matrix. Technical stack comparison. SWOT. Differentiation opportunities. [EXPLICIT],pending,,,,,
competitive-positioning,"Competitor analysis frameworks, differentiation strategy, feature comparison. [EXPLICIT]",pending,,,,,
competitor-teardown,"Triggers on ""competitor teardown"", ""competitive analysis"", ""analizar competencia"", competitor comparison"". Detailed competitor product/service analysis with feature comparison matrix, pricing analysis, positioning map, SWOT per competitor, and differentiation opportunities. Output: branded HTML competitive report. [EXPLICIT]",pending,,,,,
compliance-assessment,"Regulatory and standards compliance assessment — GDPR, SOX, PCI-DSS, HIPAA, ISO 27001, NIST CSF. [EXPLICIT] Use when the user asks to ""evaluate compliance"", ""audit regulatory gaps"", ""assess GDPR readiness"", review PCI-DSS compliance"", or mentions regulatory frameworks, data protection, compliance matrix. [EXPLICIT]",pending,,,,,
compliance-framework,"SOC2, ISO 27001, GDPR compliance checklist patterns and evidence. [EXPLICIT]",pending,,,,,
component-architecture,"Designs frontend module boundaries, interface contracts, and composition patterns for scalable component hierarchies. Covers smart/dumb patterns, compound components, and dependency injection. [EXPLICIT]",pending,,,,,
component-designer,UI component architecture. Atomic design (atoms/molecules/organisms). Props contracts. Composition patterns. Accessibility built-in. [EXPLICIT],pending,,,,,
"constitution-compliance","Validates outputs, plans, PRs, reports, or workflows against JM-ADK Constitution v6.0.0 using an 18-principle matrix, G0-G3 gate impact, evidence tags, severity, remediation, and fail-closed missing-evidence handling. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/constitution-compliance-review.md,P1,completed-assets-dod,"Closed DoD with v6.0.0 assets, deterministic report validator, pass/block/fail fixtures, 10 eval cases, offline templates, read-only agents, and per-skill DoD evidence."
contact-database,"Triggers on ""contact database"", ""contact list"", ""CRM list"", ""base de contactos"", lista de contactos"". Structured contact/CRM list builder with records for name, company, role, email, phone, LinkedIn, notes, last contact date, and status. Output: CSV template + optional branded HTML contact cards. [EXPLICIT]",pending,,,,,
content-calendar,"Editorial calendar, topic clustering, content pillar planning, cadence. [EXPLICIT]",pending,,,,,
context-optimization,"Use when the user asks to ""optimize context"", ""reduce token usage"", prune context window"", ""configure progressive loading"", or ""manage session state"". [EXPLICIT] Activates when a stakeholder needs to optimize context window usage, configure progressive MOAT loading levels, design intelligent pruning strategies, manage session state persistence, or implement token-efficient skill routing across the agent framework. [EXPLICIT]",pending,,,,,
context-optimizer,"Manages token budget across sessions. Implements lazy loading, context compression, and progressive disclosure to maximize effective context usage. [EXPLICIT]",pending,,,,,
context-window-management,"Token budgeting, context compression, priority-based summarization. [EXPLICIT]",pending,,,,,
